Capítulo,Escena,Personaje,Diálogo / Texto,Imagen de Fondo,Sprite de Personaje,BGM,VFX
capitulo_0,guia_naia,sistema,Naia aparece en pantalla sosteniendo una pequeña antorcha. Observa los bordes del marco con curiosidad y luego mira directamente al jugador.,/backgrounds/bg_hoyo_negro_tutorial.jpg,sprites/Naia_frente_Normal_.png,/bgm/pluck_loop_01.mp3,/sfx/sfx_activacion_don.wav
capitulo_0,guia_naia,naia,"¡Hey, caminante! No temas. Sé que este territorio es extraño para ti, pero en mi clan yo era la encargada de abrir los senderos en la oscuridad. Déjame enseñarte las marcas de este mapa digital para que no te pierdas en el abismo.",/backgrounds/bg_hoyo_negro_tutorial.jpg,sprites/Naia_frente_Normal_.png,/bgm/pluck_loop_01.mp3,/sfx/sfx_activacion_don.wav
capitulo_0,guia_naia,naia,"Mira aquí abajo. Esto funciona como las huellas que dejamos en el lodo. Arriba verás el NOMBRE DEL PERSONAJE, para que sepas qué miembro de la tribu está hablando, y justo abajo aparecerá el TEXTO DEL DIÁLOGO con sus palabras.",/backgrounds/bg_hoyo_negro_tutorial.jpg,sprites/Naia_frente_Normal_.png,/bgm/pluck_loop_01.mp3,/sfx/sfx_activacion_don.wav
capitulo_0,guia_naia,sistema,El símbolo de agua al final de la caja comienza a parpadear en cian.,/backgrounds/bg_hoyo_negro_tutorial.jpg,sprites/Naia_frente_Normal_.png,/bgm/pluck_loop_01.mp3,/sfx/sfx_activacion_don.wav
capitulo_0,guia_naia,naia,"¿Ves este SÍMBOLO DE AGUA flotando al final? El agua pura siempre corre y busca su camino. Cuando termines de leer, tócalo; funcionará como una flecha que te hará avanzar al siguiente fragmento de la historia.",/backgrounds/bg_hoyo_negro_tutorial.jpg,sprites/Naia_frente_Normal_.png,/bgm/pluck_loop_01.mp3,/sfx/sfx_activacion_don.wav
capitulo_0,guia_naia,sistema,Los botones de control del marco superior se iluminan uno a uno.,/backgrounds/bg_hoyo_negro_tutorial.jpg,sprites/Naia_frente_Normal_.png,/bgm/pluck_loop_01.mp3,/sfx/sfx_activacion_don.wav
capitulo_0,guia_naia,naia,"Ahora mira las herramientas de supervivencia en los bordes de tu visor. Si tocas PANTALLA COMPLETA, expandirás tu horizonte para que la sabana y la cueva te rodeen por completo, borrando las distracciones del exterior.",/backgrounds/bg_hoyo_negro_tutorial.jpg,sprites/Naia_frente_Normal_.png,/bgm/pluck_loop_01.mp3,/sfx/sfx_activacion_don.wav
capitulo_0,guia_naia,naia,"Si necesitas un descanso, el botón de MENÚ PRINCIPAL te llevará de vuelta a tu campamento base. Desde ahí puedes guardar tus avances en la nube, cambiar el volumen o ajustar el idioma de la expedición.",/backgrounds/bg_hoyo_negro_tutorial.jpg,sprites/Naia_frente_Normal_.png,/bgm/pluck_loop_01.mp3,/sfx/sfx_activacion_don.wav
capitulo_0,guia_naia,naia,¿Olvidaste un rastro atrás? El REGISTRO DE DIÁLOGOS te permite mirar tus propias pisadas. Ábrelo si necesitas revisar las palabras que ya se desvanecieron de la pantalla para entender mejor el misterio.,/backgrounds/bg_hoyo_negro_tutorial.jpg,sprites/Naia_frente_Normal_.png,/bgm/pluck_loop_01.mp3,/sfx/sfx_activacion_don.wav
capitulo_0,guia_naia,naia,"Si estás cruzando por un sendero que ya recorriste en una vida anterior y quieres avanzar rápido, usa SALTAR DIÁLOGOS. Tu vista correrá a toda velocidad hasta encontrar un nuevo dilema.",/backgrounds/bg_hoyo_negro_tutorial.jpg,sprites/Naia_frente_Normal_.png,/bgm/pluck_loop_01.mp3,/sfx/sfx_activacion_don.wav
